Date,AQI
2015-07-03,85.9
2015-07-04,275.5
2015-07-05,9.5
2015-07-06,155.3
2015-07-07,122.1
2015-07-08,246.1
2015-07-09,352.7
2015-07-10,461.8
2015-07-11,130.8
2015-07-12,227.4
2015-07-13,401.1
2015-07-14,429.2
2015-07-15,301.4
2015-07-16,298.1
2015-07-17,410.6
2015-07-18,193.8
2015-07-19,342.3
2015-07-20,414.2
2015-07-21,438.7
2015-07-22,356.1
2015-07-23,476.4
2015-07-24,231
2015-07-25,207.3
2015-07-26,377.5
2015-07-27,121.7
2015-07-28,111.1
2015-07-29,77.7
2015-07-30,99.2
2015-07-31,377
2015-08-01,202.9
2015-08-02,1.4
2015-08-03,157.7
2015-08-04,251.1
2015-08-05,104.2
2015-08-06,425.9
2015-08-07,248.4
2015-08-08,358.7
2015-08-09,388.2
2015-08-10,55.9
2015-08-11,5.7
2015-08-12,338
2015-08-13,492.5
2015-08-14,171.4
2015-08-15,22.1
2015-08-16,281.1
2015-08-17,207.2
2015-08-18,459.7
2015-08-19,73.2
2015-08-20,22.8
2015-08-21,107.6
2015-08-22,50.5
2015-08-23,483.5
2015-08-24,191.2
2015-08-25,428
2015-08-26,79.6
2015-08-27,62.3
2015-08-28,440.7
2015-08-29,68.5
2015-08-30,398.1
2015-08-31,104.2
2015-09-01,106.5
2015-09-02,281.3
2015-09-03,271.8
2015-09-04,472.9
2015-09-05,415.8
2015-09-06,132.2
2015-09-07,108.1
2015-09-08,116
2015-09-09,118.2
2015-09-10,218.8
2015-09-11,476.4
2015-09-12,76.4
2015-09-13,148.8
2015-09-14,200
2015-09-15,0.1
2015-09-16,219.7
2015-09-17,385.5
2015-09-18,142.7
2015-09-19,300.6
2015-09-20,25.8
2015-09-21,281.8
2015-09-22,183
2015-09-23,132.1
2015-09-24,164.4
2015-09-25,355.7
2015-09-26,121.7
2015-09-27,141.3
2015-09-28,189
2015-09-29,165.1
2015-09-30,437.8
2015-10-01,353.5
2015-10-02,168.8
2015-10-03,459.5
2015-10-04,189.8
2015-10-05,250.3
2015-10-06,293
2015-10-07,84
2015-10-08,349.2
2015-10-09,391.9
2015-10-10,451.1
2015-10-11,193.6
2015-10-12,168.6
2015-10-13,150.6
2015-10-14,298.3
2015-10-15,146.7
2015-10-16,316.7
2015-10-17,131.3
2015-10-18,396.6
2015-10-19,124.2
2015-10-20,62.9
2015-10-21,16.7
2015-10-22,50.2
2015-10-23,227.6
2015-10-24,475.2
2015-10-25,315.2
2015-10-26,255.2
2015-10-27,317.1
2015-10-28,396.7
2015-10-29,287.5
2015-10-30,353.2
2015-10-31,196
2015-11-01,453.2
2015-11-02,118.9
2015-11-03,155.6
2015-11-04,359.3
2015-11-05,277.4
2015-11-06,186.4
2015-11-07,231
2015-11-08,251.5
2015-11-09,386.2
2015-11-10,341.7
2015-11-11,17.7
2015-11-12,458.4
2015-11-13,77.1
2015-11-14,116.4
2015-11-15,264.5
2015-11-16,419.1
2015-11-17,492.2
2015-11-18,156.3
2015-11-19,60.1
2015-11-20,437.9
2015-11-21,48.3
2015-11-22,485.2
2015-11-23,371.3
2015-11-24,268.7
2015-11-25,377.1
2015-11-26,459
2015-11-27,468
2015-11-28,116.6
2015-11-29,97.5
2015-11-30,25.5
2015-12-01,160.5
2015-12-02,299.3
2015-12-03,238.3
2015-12-04,236.6
2015-12-05,46.7
2015-12-06,110.4
2015-12-07,148.3
2015-12-08,146.4
2015-12-09,292.7
2015-12-10,94.9
2015-12-11,125.4
2015-12-12,348.1
2015-12-13,471.1
2015-12-14,356.1
2015-12-15,304.4
2015-12-16,87.9
2015-12-17,404.2
2015-12-18,164.9
2015-12-19,240.6
2015-12-20,307.6
2015-12-21,170.2
2015-12-22,254.7
2015-12-23,342.9
2015-12-24,466.5
2015-12-25,204.3
2015-12-26,384.4
2015-12-27,240.1
2015-12-28,178.9
2015-12-29,149.6
2015-12-30,405.2
2015-12-31,72.7
2016-01-01,26.8
2016-01-02,499.5
2016-01-03,135
2016-01-04,379.5
2016-01-05,219
2016-01-06,262.6
2016-01-07,413
2016-01-08,48.2
2016-01-09,326.8
2016-01-10,286.5
2016-01-11,452.6
2016-01-12,447.6
2016-01-13,300.6
2016-01-14,296.8
2016-01-15,12.2
2016-01-16,475
2016-01-17,69.4
2016-01-18,228.2
2016-01-19,6.9
2016-01-20,330.3
2016-01-21,146
2016-01-22,333.6
2016-01-23,340.8
2016-01-24,376.9
2016-01-25,437.1
2016-01-26,98.4
2016-01-27,137.5
2016-01-28,234.7
2016-01-29,381.6
2016-01-30,27
2016-01-31,375
2016-02-01,104.2
2016-02-02,217.8
2016-02-03,496
2016-02-04,274.6
2016-02-05,104.6
2016-02-06,162.3
2016-02-07,174.2
2016-02-08,93.7
2016-02-09,87
2016-02-10,497.3
2016-02-11,379.6
2016-02-12,108.8
2016-02-13,446.2
2016-02-14,249
2016-02-15,294.6
2016-02-16,351.2
2016-02-17,268.1
2016-02-18,269.8
2016-02-19,68.1
2016-02-20,395.3
2016-02-21,489
2016-02-22,295.2
2016-02-23,78.1
2016-02-24,100.9
2016-02-25,231.4
2016-02-26,104.6
2016-02-27,177.6
2016-02-28,335
2016-02-29,140.6
2016-03-01,432.1
2016-03-02,98.4
2016-03-03,465.5
2016-03-04,374.5
2016-03-05,408.8
2016-03-06,125.6
2016-03-07,9.7
2016-03-08,49.8
2016-03-09,270.5
2016-03-10,37.6
2016-03-11,152.6
2016-03-12,63.5
2016-03-13,11.9
2016-03-14,495.1
2016-03-15,320.6
2016-03-16,412.3
2016-03-17,188.1
2016-03-18,430.9
2016-03-19,216.1
2016-03-20,223.1
2016-03-21,312.6
2016-03-22,33.5
2016-03-23,362.7
2016-03-24,360.1
2016-03-25,437.9
2016-03-26,22
2016-03-27,28.2
2016-03-28,255.7
2016-03-29,191
2016-03-30,216.7
2016-03-31,300
2016-04-01,16.5
2016-04-02,169.6
2016-04-03,377.2
2016-04-04,14.5
2016-04-05,245.3
2016-04-06,267.9
2016-04-07,335.8
2016-04-08,21.6
2016-04-09,303.7
2016-04-10,281.3
2016-04-11,11.8
2016-04-12,129.9
2016-04-13,1.4
2016-04-14,424.5
2016-04-15,400.9
2016-04-16,208.6
2016-04-17,240.9
2016-04-18,326.9
2016-04-19,416.2
2016-04-20,143.6
2016-04-21,137.6
2016-04-22,255.8
2016-04-23,22.9
2016-04-24,487.9
2016-04-25,456.6
2016-04-26,425.1
2016-04-27,496
2016-04-28,345.5
2016-04-29,308.7
2016-04-30,117.3
2016-05-01,1.1
2016-05-02,107.1
2016-05-03,116.6
2016-05-04,225.9
2016-05-05,284.7
2016-05-06,479.5
2016-05-07,77.9
2016-05-08,58.7
2016-05-09,277.2
2016-05-10,317.9
2016-05-11,410
2016-05-12,407.6
2016-05-13,386.6
2016-05-14,184.8
2016-05-15,72.3
2016-05-16,359.3
2016-05-17,485.4
2016-05-18,80.8
2016-05-19,170
2016-05-20,6.9
2016-05-21,69.7
2016-05-22,212.8
2016-05-23,450.6
2016-05-24,212.9
2016-05-25,271.6
2016-05-26,466.6
2016-05-27,307.3
2016-05-28,485.2
2016-05-29,235.8
2016-05-30,253.1
2016-05-31,379.4
2016-06-01,244.8
2016-06-02,42
2016-06-03,176.2
2016-06-04,461.5
2016-06-05,485.1
2016-06-06,106.3
2016-06-07,258.4
2016-06-08,58.6
2016-06-09,232.3
2016-06-10,142.2
2016-06-11,68.3
2016-06-12,130.8
2016-06-13,60.4
2016-06-14,90.5
2016-06-15,237.8
2016-06-16,5.9
2016-06-17,43.5
2016-06-18,396.1
2016-06-19,153.4
2016-06-20,332.1
2016-06-21,26.9
2016-06-22,307.9
2016-06-23,55.3
2016-06-24,195.1
2016-06-25,273.8
2016-06-26,30.5
2016-06-27,104.6
2016-06-28,241.8
2016-06-29,29.7
2016-06-30,477.2
2016-07-01,38.1
2016-07-02,314.4
2016-07-03,375
2016-07-04,58.1
2016-07-05,397
2016-07-06,12.7
2016-07-07,104.6
2016-07-08,279.6
2016-07-09,119.9
2016-07-10,388.5
2016-07-11,50.4
2016-07-12,263.7
2016-07-13,146.9
2016-07-14,115
2016-07-15,359.3
2016-07-16,254.7
2016-07-17,294
2016-07-18,363.6
2016-07-19,113
2016-07-20,195
2016-07-21,191.4
2016-07-22,216.4
2016-07-23,42.3
2016-07-24,190.3
2016-07-25,441.9
2016-07-26,468.2
2016-07-27,223.6
2016-07-28,310.1
2016-07-29,84.9
2016-07-30,376.1
2016-07-31,98.2
2016-08-01,364.4
2016-08-02,86.8
2016-08-03,301
2016-08-04,13.5
2016-08-05,384
2016-08-06,144.4
2016-08-07,152.2
2016-08-08,408
2016-08-09,1.7
2016-08-10,357.2
2016-08-11,317.4
2016-08-12,422.5
2016-08-13,344.7
2016-08-14,338.8
2016-08-15,56.7
2016-08-16,421
2016-08-17,105.2
2016-08-18,293.9
2016-08-19,410.9
2016-08-20,383
2016-08-21,346.5
2016-08-22,134.5
2016-08-23,485
2016-08-24,483.1
2016-08-25,497.3
2016-08-26,219.4
2016-08-27,77.8
2016-08-28,258.7
2016-08-29,489.2
2016-08-30,24.1
2016-08-31,376.1
2016-09-01,456.4
2016-09-02,24.3
2016-09-03,484.6
2016-09-04,287.2
2016-09-05,305.3
2016-09-06,472.4
2016-09-07,348.9
2016-09-08,241.4
2016-09-09,91.7
2016-09-10,335.8
2016-09-11,86.8
2016-09-12,469.6
2016-09-13,164.9
2016-09-14,116.6
2016-09-15,38.1
2016-09-16,172.5
2016-09-17,369.8
2016-09-18,377.2
2016-09-19,156.9
2016-09-20,129.1
2016-09-21,106
2016-09-22,249.1
2016-09-23,128.3
2016-09-24,3.1
2016-09-25,398.9
2016-09-26,145.8
2016-09-27,417
2016-09-28,338.8
2016-09-29,112.2
2016-09-30,172.5
2016-10-01,168.6
2016-10-02,392.3
2016-10-03,167.8
2016-10-04,309.2
2016-10-05,422.7
2016-10-06,155.8
2016-10-07,438.1
2016-10-08,395.3
2016-10-09,194.5
2016-10-10,11
2016-10-11,470.3
2016-10-12,380.7
2016-10-13,369.1
2016-10-14,127.7
2016-10-15,89.4
2016-10-16,465.1
2016-10-17,424.9
2016-10-18,141.7
2016-10-19,40
2016-10-20,13.8
2016-10-21,329
2016-10-22,154.2
2016-10-23,55.3
2016-10-24,18.9
2016-10-25,339.6
2016-10-26,136.3
2016-10-27,416.4
2016-10-28,106.2
2016-10-29,478.7
2016-10-30,421.1
2016-10-31,241.3
2016-11-01,337.1
2016-11-02,90.3
2016-11-03,150.1
2016-11-04,6.3
2016-11-05,353.7
2016-11-06,337.2
2016-11-07,475.8
2016-11-08,119.7
2016-11-09,366.1
2016-11-10,362.8
2016-11-11,54.5
2016-11-12,3.1
2016-11-13,260.7
2016-11-14,261.5
2016-11-15,374.3
2016-11-16,499.1
2016-11-17,30.8
2016-11-18,405.9
2016-11-19,413.2
2016-11-20,125.9
2016-11-21,427.3
2016-11-22,125.9
2016-11-23,454.2
2016-11-24,12.2
2016-11-25,382.9
2016-11-26,46.9
2016-11-27,402.8
2016-11-28,75.6
2016-11-29,69.5
2016-11-30,218.9
2016-12-01,411.6
2016-12-02,121.6
2016-12-03,40
2016-12-04,106.9
2016-12-05,415.8
2016-12-06,110.6
2016-12-07,211.3
2016-12-08,126.2
2016-12-09,98
2016-12-10,415.8
2016-12-11,407.9
2016-12-12,155.4
2016-12-13,368.9
2016-12-14,424.6
2016-12-15,176.7
2016-12-16,486.7
2016-12-17,196.1
2016-12-18,200.7
2016-12-19,162.3
2016-12-20,60.7
2016-12-21,423.7
2016-12-22,99.3
2016-12-23,171.1
2016-12-24,330.9
2016-12-25,248.6
2016-12-26,81.8
2016-12-27,337.9
2016-12-28,260.6
2016-12-29,35.6
2016-12-30,334.6
2016-12-31,471.3
2017-01-01,430.4
2017-01-02,433.6
2017-01-03,47.8
2017-01-04,28.3
2017-01-05,86.2
2017-01-06,282
2017-01-07,306.7
2017-01-08,167.1
2017-01-09,167
2017-01-10,374.7
2017-01-11,415.8
2017-01-12,27.3
2017-01-13,89.3
2017-01-14,9.1
2017-01-15,266.7
2017-01-16,321.7
2017-01-17,280.8
2017-01-18,413.3
2017-01-19,241
2017-01-20,469.5
2017-01-21,207
2017-01-22,480.8
2017-01-23,422.4
2017-01-24,225.9
2017-01-25,40.1
2017-01-26,351.1
2017-01-27,331.8
2017-01-28,232.9
2017-01-29,474.5
2017-01-30,174
2017-01-31,309.3
2017-02-01,228.2
2017-02-02,266.3
2017-02-03,179
2017-02-04,232.2
2017-02-05,242.3
2017-02-06,84.4
2017-02-07,87.4
2017-02-08,389.9
2017-02-09,108.1
2017-02-10,252.4
2017-02-11,405.2
2017-02-12,237.1
2017-02-13,143.2
2017-02-14,431.9
2017-02-15,83.9
2017-02-16,409.5
2017-02-17,48.5
2017-02-18,169.8
2017-02-19,402.8
2017-02-20,440
2017-02-21,288.9
2017-02-22,181.5
2017-02-23,433.8
2017-02-24,405.6
2017-02-25,68.4
2017-02-26,132.1
2017-02-27,14.5
2017-02-28,331.7
2017-03-01,349.8
2017-03-02,306.2
2017-03-03,293
2017-03-04,398.1
2017-03-05,287.8
2017-03-06,189.9
2017-03-07,254.7
2017-03-08,204.7
2017-03-09,243.6
2017-03-10,444.6
2017-03-11,146.5
2017-03-12,435
2017-03-13,73.2
2017-03-14,196.5
2017-03-15,337.4
2017-03-16,468.3
2017-03-17,301.3
2017-03-18,148
2017-03-19,241.2
2017-03-20,374
2017-03-21,207.3
2017-03-22,335.1
2017-03-23,96
2017-03-24,165.9
2017-03-25,464.2
2017-03-26,120.3
2017-03-27,95
2017-03-28,302.6
2017-03-29,203.5
2017-03-30,306.7
2017-03-31,337.1
2017-04-01,272
2017-04-02,250.4
2017-04-03,328.9
2017-04-04,382.2
2017-04-05,47.5
2017-04-06,421.6
2017-04-07,314.2
2017-04-08,303.4
2017-04-09,427.4
2017-04-10,206.6
2017-04-11,119.5
2017-04-12,467.9
2017-04-13,301.7
2017-04-14,134.6
2017-04-15,450.8
2017-04-16,237.3
2017-04-17,363.2
2017-04-18,462.8
2017-04-19,340.7
2017-04-20,169.5
2017-04-21,177.2
2017-04-22,168.9
2017-04-23,160.3
2017-04-24,448.6
2017-04-25,257.7
2017-04-26,475.4
2017-04-27,230
2017-04-28,92.3
2017-04-29,94.4
2017-04-30,214
2017-05-01,476.5
2017-05-02,216.4
2017-05-03,322.9
2017-05-04,286.1
2017-05-05,149.6
2017-05-06,355
2017-05-07,283.6
2017-05-08,379.3
2017-05-09,338
2017-05-10,472.4
2017-05-11,263.2
2017-05-12,342.5
2017-05-13,349.6
2017-05-14,21.9
2017-05-15,489
2017-05-16,299.7
2017-05-17,317.3
2017-05-18,229.1
2017-05-19,50.9
2017-05-20,461.7
2017-05-21,257.8
2017-05-22,453.9
2017-05-23,341.9
2017-05-24,0.6
2017-05-25,69.5
2017-05-26,224.9
2017-05-27,444.4
2017-05-28,115.9
2017-05-29,430.2
2017-05-30,210.8
2017-05-31,318.8
2017-06-01,100.4
2017-06-02,469.5
2017-06-03,405.2
2017-06-04,172.7
2017-06-05,149
2017-06-06,42.9
2017-06-07,47.4
2017-06-08,315.6
2017-06-09,212
2017-06-10,25
2017-06-11,373.9
2017-06-12,470.3
2017-06-13,28.1
2017-06-14,313.9
2017-06-15,277.9
2017-06-16,171.3
2017-06-17,373.4
2017-06-18,93.7
2017-06-19,355.5
2017-06-20,387.6
2017-06-21,181
2017-06-22,144
2017-06-23,233.5
2017-06-24,46.6
2017-06-25,484.1
2017-06-26,233.8
2017-06-27,43.2
2017-06-28,141
2017-06-29,242.6
2017-06-30,233.2
2017-07-01,10.2
2017-07-02,298.1
2017-07-03,21.5
2017-07-04,489.8
2017-07-05,374.9
2017-07-06,51.2
2017-07-07,141.3
2017-07-08,75.7
2017-07-09,420.8
2017-07-10,126.9
2017-07-11,93.5
2017-07-12,143.4
2017-07-13,4.7
2017-07-14,19.1
2017-07-15,258
2017-07-16,160
2017-07-17,314.1
2017-07-18,9.4
2017-07-19,68.1
2017-07-20,162.6
2017-07-21,134.9
2017-07-22,34.1
2017-07-23,2
2017-07-24,232.4
2017-07-25,327.7
2017-07-26,227
2017-07-27,153.4
2017-07-28,264.8
2017-07-29,56
2017-07-30,322.1
2017-07-31,489.9
2017-08-01,150.2
2017-08-02,314.7
2017-08-03,71.9
2017-08-04,346.1
2017-08-05,155.5
2017-08-06,407.2
2017-08-07,143.9
2017-08-08,241.2
2017-08-09,473
2017-08-10,196.7
2017-08-11,113.8
2017-08-12,64
2017-08-13,324.7
2017-08-14,225.5
2017-08-15,324.6
2017-08-16,237.1
2017-08-17,35.5
2017-08-18,412.1
2017-08-19,196.2
2017-08-20,309.5
2017-08-21,263.5
2017-08-22,479.3
2017-08-23,23.4
2017-08-24,146.1
2017-08-25,108.4
2017-08-26,69.4
2017-08-27,219.6
2017-08-28,194
2017-08-29,92.3
2017-08-30,104.7
2017-08-31,386.7
2017-09-01,70.5
2017-09-02,165.3
2017-09-03,255
2017-09-04,335.2
2017-09-05,399.2
2017-09-06,356.5
2017-09-07,303.6
2017-09-08,488.5
2017-09-09,93.4
2017-09-10,472
2017-09-11,189.7
2017-09-12,408.4
2017-09-13,343.8
2017-09-14,282.1
2017-09-15,237.6
2017-09-16,102.1
2017-09-17,225.2
2017-09-18,382.9
2017-09-19,129.7
2017-09-20,267.5
2017-09-21,467
2017-09-22,488.3
2017-09-23,174.1
2017-09-24,29.5
2017-09-25,425
2017-09-26,226.2
2017-09-27,359.7
2017-09-28,351.8
2017-09-29,178.3
2017-09-30,445.6
2017-10-01,473.7
2017-10-02,10.9
2017-10-03,391.6
2017-10-04,47.2
2017-10-05,277.7
2017-10-06,266.9
2017-10-07,58.9
2017-10-08,181.8
2017-10-09,481.9
2017-10-10,148.9
2017-10-11,455.1
2017-10-12,266.6
2017-10-13,23.6
2017-10-14,78.5
2017-10-15,311.9
2017-10-16,29
2017-10-17,10.6
2017-10-18,22.3
2017-10-19,187.2
2017-10-20,373.6
2017-10-21,484.5
2017-10-22,29.8
2017-10-23,152.5
2017-10-24,197.1
2017-10-25,296.3
2017-10-26,36.9
2017-10-27,53
2017-10-28,4
2017-10-29,158
2017-10-30,22.2
2017-10-31,212.9
2017-11-01,120.8
2017-11-02,1.7
2017-11-03,255.6
2017-11-04,384.2
2017-11-05,359.2
2017-11-06,398.1
2017-11-07,184.1
2017-11-08,476.1
2017-11-09,36
2017-11-10,447.6
2017-11-11,122.7
2017-11-12,320.6
2017-11-13,6.3
2017-11-14,195.2
2017-11-15,28.8
2017-11-16,1
2017-11-17,465.2
2017-11-18,219.7
2017-11-19,245.3
2017-11-20,40.7
2017-11-21,396.1
2017-11-22,69.1
2017-11-23,454.2
2017-11-24,490.6
2017-11-25,230.5
2017-11-26,48.3
2017-11-27,451.9
2017-11-28,320.1
2017-11-29,484.6
2017-11-30,199.4
2017-12-01,255.8
2017-12-02,54.2
2017-12-03,149.5
2017-12-04,370.9
2017-12-05,455.4
2017-12-06,183
2017-12-07,478
2017-12-08,391.4
2017-12-09,461.4
2017-12-10,29.7
2017-12-11,133.7
2017-12-12,73
2017-12-13,279.6
2017-12-14,252.2
2017-12-15,292.9
2017-12-16,464.9
2017-12-17,221.1
2017-12-18,380.1
2017-12-19,245.3
2017-12-20,191.6
2017-12-21,157.4
2017-12-22,380.2
2017-12-23,439.6
2017-12-24,478.3
2017-12-25,437.5
2017-12-26,373.7
2017-12-27,224.7
2017-12-28,131.9
2017-12-29,229.4
2017-12-30,446.5
2017-12-31,249.1
2018-01-01,69.3
2018-01-02,22.1
2018-01-03,224.6
2018-01-04,209.4
2018-01-05,323.6
2018-01-06,348.1
2018-01-07,142
2018-01-08,418.2
2018-01-09,120.9
2018-01-10,205.6
2018-01-11,116.4
2018-01-12,18.2
2018-01-13,15.5
2018-01-14,4.8
2018-01-15,149.1
2018-01-16,272.3
2018-01-17,61.9
2018-01-18,235.9
2018-01-19,336.1
2018-01-20,25.6
2018-01-21,357.5
2018-01-22,413.9
2018-01-23,499.7
2018-01-24,226
2018-01-25,42.1
2018-01-26,282.8
2018-01-27,114.7
2018-01-28,244.1
2018-01-29,474.9
2018-01-30,435.5
2018-01-31,248.9
2018-02-01,205.9
2018-02-02,120.1
2018-02-03,235.6
2018-02-04,244.1
2018-02-05,13.5
2018-02-06,5.4
2018-02-07,201.2
2018-02-08,482
2018-02-09,479.7
2018-02-10,366
2018-02-11,100.3
2018-02-12,383.5
2018-02-13,147.5
2018-02-14,436.8
2018-02-15,491.2
2018-02-16,167.4
2018-02-17,191.6
2018-02-18,135.2
2018-02-19,208.9
2018-02-20,92.5
2018-02-21,477.5
2018-02-22,446.2
2018-02-23,385.4
2018-02-24,203
2018-02-25,205.3
2018-02-26,377.2
2018-02-27,405.2
2018-02-28,52.3
2018-03-01,48
2018-03-02,161
2018-03-03,479.4
2018-03-04,84.9
2018-03-05,302.5
2018-03-06,58.5
2018-03-07,108.7
2018-03-08,150.8
2018-03-09,483.5
2018-03-10,421.2
2018-03-11,288.6
2018-03-12,174.6
2018-03-13,496.6
2018-03-14,263.7
2018-03-15,312.7
2018-03-16,244.7
2018-03-17,463.6
2018-03-18,365.8
2018-03-19,81.9
2018-03-20,10.5
2018-03-21,140
2018-03-22,323.8
2018-03-23,269.1
2018-03-24,58.3
2018-03-25,218.3
2018-03-26,349.1
2018-03-27,449.6
2018-03-28,148.2
2018-03-29,208.7
2018-03-30,478
2018-03-31,474.3
2018-04-01,258.9
2018-04-02,27.9
2018-04-03,243
2018-04-04,78.5
2018-04-05,291.2
2018-04-06,423.3
2018-04-07,39.9
2018-04-08,156.9
2018-04-09,321
2018-04-10,216.3
2018-04-11,294.8
2018-04-12,392.5
2018-04-13,89.9
2018-04-14,428.7
2018-04-15,136
2018-04-16,383.1
2018-04-17,56.6
2018-04-18,316.4
2018-04-19,102.1
2018-04-20,393
2018-04-21,270.5
2018-04-22,402.4
2018-04-23,128.5
2018-04-24,45.1
2018-04-25,350.7
2018-04-26,4.2
2018-04-27,268.7
2018-04-28,460.1
2018-04-29,117.1
2018-04-30,421.2
2018-05-01,32.6
2018-05-02,63.7
2018-05-03,90.6
2018-05-04,177.5
2018-05-05,354.9
2018-05-06,348.7
2018-05-07,68.2
2018-05-08,458.3
2018-05-09,340.5
2018-05-10,191
2018-05-11,319
2018-05-12,309.3
2018-05-13,97
2018-05-14,64.1
2018-05-15,387.1
2018-05-16,425.2
2018-05-17,461.2
2018-05-18,283.3
2018-05-19,463.9
2018-05-20,223
2018-05-21,256.4
2018-05-22,276.1
2018-05-23,478.3
2018-05-24,414.2
2018-05-25,29.9
2018-05-26,239.9
2018-05-27,105.9
2018-05-28,179.3
2018-05-29,162.7
2018-05-30,262.9
2018-05-31,85.5
2018-06-01,291.7
2018-06-02,168.9
2018-06-03,212.6
2018-06-04,493.5
2018-06-05,442.6
2018-06-06,322.9
2018-06-07,463.2
2018-06-08,151.3
2018-06-09,324
2018-06-10,395.7
2018-06-11,65
2018-06-12,265.8
2018-06-13,491.6
2018-06-14,487.4
2018-06-15,489.9
2018-06-16,275.2
2018-06-17,359.5
2018-06-18,219.5
2018-06-19,446.2
2018-06-20,173.7
2018-06-21,159.2
2018-06-22,382.8
2018-06-23,19.9
2018-06-24,149.9
2018-06-25,56.9
2018-06-26,116.7
2018-06-27,207.2
2018-06-28,224.3
2018-06-29,495.2
2018-06-30,130.8
2018-07-01,94.7
2018-07-02,389.6
2018-07-03,385.3
2018-07-04,394.2
2018-07-05,119.7
2018-07-06,416.9
2018-07-07,3.7
2018-07-08,31.3
2018-07-09,316.4
2018-07-10,122.5
2018-07-11,172.6
2018-07-12,199.1
2018-07-13,416.1
2018-07-14,41.3
2018-07-15,253.1
2018-07-16,179.1
2018-07-17,451.4
2018-07-18,5.9
